#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2      Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
2  1673.342 0.010446274 3.0555573 0.95591751 0.023551787 0.12544802 0.87475185 2.1233016e-09 67.742668 -19.847797 -19.847797 3386.3796 3386.3796
1 1672.2463 0.010446287 3.0554638 0.95562838 0.023550842  0.1253827 0.87476833  2.123103e-09 67.763965 -19.847797 -19.847797 3384.1881 3384.1881
1 1668.6487 0.010446585 3.0562224 0.95653082 0.023556928 0.12510004 0.87527889 2.1247143e-09 67.873193 -19.847797 -19.847797  3376.993  3376.993
2 1632.1844 0.010445645  3.059175  0.9555988 0.023556006 0.12508852 0.87469627 2.1309969e-09 67.844485 -19.847797 -19.847797 3304.0644 3304.0644
1 1593.1785 0.010443598 3.0572504 0.95964508 0.023521627 0.12454855 0.85147111 2.1268995e-09 67.926103 -19.847797 -19.847797 3226.0527 3226.0527
2 1558.7703 0.010442232 3.0553881 0.95960105  0.02354756 0.12439602 0.85792574 2.1229423e-09 67.953238 -19.847797 -19.847797 3157.2361 3157.2361
1  1522.575 0.010440517  3.056823 0.95972365 0.023540229 0.12437753 0.85717091 2.1259906e-09 67.895235 -19.847797 -19.847797 3084.8456 3084.8456
2 1514.1402 0.010440562 3.0560822 0.95756691 0.023528123  0.1243623 0.84060783 2.1244163e-09  67.89151 -19.847797 -19.847797  3067.976  3067.976
3 1499.7674 0.010440382 3.0556946 0.95593522 0.023533835 0.12412063 0.84590975  2.123593e-09 67.971409 -19.847797 -19.847797 3039.2304 3039.2304
3 1495.8715 0.010440118  3.054739 0.95415425 0.023528914 0.12423265  0.8543647 2.1215648e-09 67.920658 -19.847797 -19.847797 3031.4385 3031.4385
1 1456.9063 0.010439758 3.0561447 0.95482909 0.023537099  0.1240391 0.86475282 2.1245492e-09 67.980522 -19.847797 -19.847797 2953.5082 2953.5082
2 1454.3972 0.010439808 3.0560203 0.95514379 0.023531949 0.12399452 0.86578958 2.1242849e-09  67.99277 -19.847797 -19.847797 2948.4899 2948.4899
3 1447.9284 0.010439396 3.0580714 0.95229785 0.023527605 0.12350475 0.85220879 2.1286465e-09 68.140281 -19.847797 -19.847797 2935.5524 2935.5524
1 1418.0783 0.010438654 3.0601816 0.95426038 0.023528562  0.1232986 0.85558989 2.1331431e-09 68.185757 -19.847797 -19.847797 2875.8522 2875.8522
1 1416.8771 0.010438547 3.0601139 0.95455533 0.023518605 0.12338664 0.85311135 2.1329987e-09 68.143844 -19.847797 -19.847797 2873.4498 2873.4498
1 1402.7136 0.010438434 3.0595298 0.95362083 0.023511095  0.1233114 0.85588283 2.1317532e-09 68.159053 -19.847797 -19.847797 2845.1227 2845.1227
1 1399.6142 0.010438185 3.0596802 0.95326807 0.023513251 0.12327949 0.85357957 2.1320737e-09 68.163296 -19.847797 -19.847797  2838.924  2838.924
2 1393.0819 0.010437203 3.0624479 0.95586794 0.023496373   0.122493 0.86022914 2.1379829e-09 68.383154 -19.847797 -19.847797 2825.8594 2825.8594
1 1394.1159 0.010436577 3.0628673 0.95635514 0.023483333  0.1229379  0.8586614 2.1388797e-09 68.199308 -19.847797 -19.847797 2827.9275 2827.9275
1 1375.8275 0.010435776 3.0611442 0.95725299 0.023494334 0.12297175 0.86561775 2.1351974e-09 68.170102 -19.847797 -19.847797 2791.3506 2791.3506
3 1370.9751 0.010435878 3.0607527 0.95736998 0.023489197 0.12294542 0.86577332 2.1343616e-09 68.178138 -19.847797 -19.847797 2781.6458 2781.6458
1 1364.5792  0.01043558 3.0603523 0.95810819 0.023497233 0.12226568 0.87427024 2.1335072e-09 68.406687 -19.847797 -19.847797 2768.8541 2768.8541
1 1285.4211  0.01043462 3.0618899  0.9531256 0.023476587 0.12188018 0.87332581 2.1367902e-09 68.488772 -19.847797 -19.847797 2610.5378 2610.5378
2 1261.7026 0.010433965 3.0614029 0.95316303 0.023473605 0.12214993 0.88405355 2.1357498e-09 68.371544 -19.847797 -19.847797 2563.1008 2563.1008
1 1253.9386 0.010433399 3.0629045 0.94954787 0.023485529 0.12186408 0.87150911 2.1389594e-09 68.460605 -19.847797 -19.847797 2547.5728 2547.5728
2 1223.4935 0.010431878  3.059997 0.94913692 0.023480979 0.12195834 0.87122517 2.1327492e-09 68.372939 -19.847797 -19.847797 2486.6825 2486.6825
1 1194.1812  0.01043147 3.0611999 0.94765305 0.023483033 0.12208966 0.88886562 2.1353164e-09  68.31584 -19.847797 -19.847797  2428.058  2428.058
1 1191.9455 0.010431363 3.0617167 0.94761626 0.023476725 0.12223686  0.8871416 2.1364202e-09 68.256457 -19.847797 -19.847797 2423.5866 2423.5866
6 1187.8658 0.010431227 3.0623627 0.94815759 0.023469609 0.12237255 0.88705299 2.1378007e-09 68.199447 -19.847797 -19.847797 2415.4272 2415.4272
2 1168.1463 0.010430916 3.0588714 0.95209217 0.023443998 0.12274899 0.90918923 2.1303501e-09 68.038798 -19.847797 -19.847797 2375.9881 2375.9881
1 1161.6232 0.010430798 3.0589344 0.95157762  0.02344055 0.12276638   0.910312 2.1304842e-09 68.025954 -19.847797 -19.847797  2362.942  2362.942
2 1147.5718 0.010429973 3.0577576 0.95152302 0.023445652 0.12265294 0.90763776 2.1279786e-09 68.041065 -19.847797 -19.847797 2334.8392 2334.8392
