#weight  minuslogpost  cosmomc_theta      logA        ns       ombh2      omch2     Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
2 2326.8367 0.010399392 3.0305102 1.0361273 0.019054986 0.13514632 0.88740688 2.0707796e-09 59.481184 -19.847797 -19.847797 4693.3689 4693.3689
5 2324.2922  0.01039937 3.0320444 1.0349324 0.019055761  0.1350137 0.88933286 2.0739589e-09 59.521026 -19.847797 -19.847797   4688.28   4688.28
1 2324.2124 0.010399571 3.0311702  1.034686 0.019058772 0.13490587 0.88787749 2.0721466e-09 59.562213 -19.847797 -19.847797 4688.1203 4688.1203
1 2307.5895 0.010397317 3.0284209 1.0366618 0.019085144 0.13559332 0.87293091 2.0664575e-09 59.304169 -19.847797 -19.847797 4654.8746 4654.8746
1 2307.8993 0.010397247 3.0284325 1.0364941 0.019085237 0.13557898 0.87314435 2.0664816e-09 59.306338 -19.847797 -19.847797 4655.4941 4655.4941
1 2307.2103 0.010397218 3.0285464  1.036593 0.019085324 0.13553601 0.87236008  2.066717e-09 59.318364 -19.847797 -19.847797 4654.1161 4654.1161
1 2272.2783 0.010397779 3.0305141 1.0356646  0.01911341 0.13566448 0.87078436 2.0707875e-09 59.319014 -19.847797 -19.847797 4584.2523 4584.2523
2 2272.0845 0.010397774 3.0305065 1.0356937 0.019113634 0.13565994  0.8710483 2.0707718e-09 59.320379 -19.847797 -19.847797 4583.8647 4583.8647
4 2272.7094 0.010397776 3.0304332 1.0356959 0.019113061 0.13564472 0.87116847   2.07062e-09 59.324571 -19.847797 -19.847797 4585.1144 4585.1144
1 2253.6851 0.010397228 3.0292197 1.0372079 0.019140768 0.13536864 0.87938542 2.0681089e-09 59.411144 -19.847797 -19.847797 4547.0659 4547.0659
3 2249.6726 0.010397273 3.0292187 1.0368835 0.019143182 0.13537682 0.87884372 2.0681069e-09 59.411934 -19.847797 -19.847797 4539.0407 4539.0407
3 2241.6112 0.010397563  3.028295  1.037191 0.019150526 0.13500877 0.88500356 2.0661973e-09 59.537471 -19.847797 -19.847797  4522.918  4522.918
1 2240.9332 0.010398268 3.0295218 1.0375808 0.019160583 0.13520568 0.89039909 2.0687337e-09 59.508184 -19.847797 -19.847797 4521.5619 4521.5619
1 2231.5932  0.01039836 3.0292733 1.0372872  0.01916528 0.13516464 0.88875052 2.0682197e-09 59.527034 -19.847797 -19.847797  4502.882  4502.882
3 2228.1076 0.010398604 3.0302286  1.035017 0.019156779 0.13519394 0.88920589 2.0701964e-09 59.519456 -19.847797 -19.847797 4495.9108 4495.9108
 1 2227.9728 0.010398449 3.0302798 1.0349472 0.019157889 0.13537065 0.88680149 2.0703024e-09 59.462268 -19.847797 -19.847797 4495.6411 4495.6411
 1 2226.1151 0.010398469 3.0300832 1.0349672 0.019159784  0.1353803 0.88609067 2.0698955e-09 59.461447 -19.847797 -19.847797 4491.9257 4491.9257
 1 2225.5914 0.010398493 3.0300848 1.0350848 0.019161592 0.13539226 0.88813849 2.0698989e-09 59.460002 -19.847797 -19.847797 4490.8785 4490.8785
 2 2222.6276 0.010397572 3.0304086 1.0357544 0.019169615 0.13493671 0.88731794 2.0705692e-09 59.574043 -19.847797 -19.847797 4484.9508 4484.9508
 1  2222.103 0.010397558  3.032477   1.03541 0.019180319 0.13510598 0.88378997 2.0748564e-09 59.530754 -19.847797 -19.847797 4483.9017 4483.9017
 3 2219.7042 0.010397704  3.032536 1.0353079 0.019180837 0.13504743 0.88379388 2.0749788e-09 59.553407 -19.847797 -19.847797 4479.1041 4479.1041
 2 2220.4102 0.010397751 3.0324454 1.0353897 0.019180459 0.13505636 0.88447733 2.0747907e-09 59.551933 -19.847797 -19.847797  4480.516  4480.516
 7  2223.248  0.01039831   3.03258 1.0353958 0.019169353 0.13449999 0.88239434   2.07507e-09 59.729238 -19.847797 -19.847797 4486.1916 4486.1916
 1 2218.3925 0.010398038 3.0321885 1.0335201 0.019164413 0.13467258  0.8743966 2.0742579e-09 59.664592 -19.847797 -19.847797 4476.4806 4476.4806
 2 2213.4471 0.010398919 3.0325166 1.0340468 0.019171804 0.13455772 0.86397466 2.0749385e-09 59.732944 -19.847797 -19.847797 4466.5898 4466.5898
 4 2200.9297 0.010398301 3.0325086 1.0349435 0.019190065 0.13437444 0.86499308 2.0749218e-09 59.782819 -19.847797 -19.847797 4441.5549 4441.5549
 2 2180.4224 0.010398501 3.0331965 1.0336162 0.019207017 0.13438938 0.86982365 2.0763498e-09 59.797589 -19.847797 -19.847797 4400.5405 4400.5405
 1 2181.2761 0.010398659 3.0332693 1.0330611 0.019204781 0.13433543 0.86722679  2.076501e-09 59.817251 -19.847797 -19.847797 4402.2479 4402.2479
 2 2181.3791 0.010399453 3.0333306 1.0340646  0.01920712 0.13413522 0.86854542 2.0766282e-09 59.905032 -19.847797 -19.847797 4402.4537 4402.4537
 1 2178.8581 0.010399062 3.0327603 1.0341387 0.019212715 0.13385618 0.86653736 2.0754442e-09  59.98184 -19.847797 -19.847797 4397.4117 4397.4117
 9 2178.2777 0.010399066 3.0327446 1.0339872 0.019213262 0.13390383 0.86443464 2.0754116e-09  59.96786 -19.847797 -19.847797 4396.2509 4396.2509
 2 2178.1033  0.01039938 3.0325957 1.0341688 0.019214331 0.13377599   0.864235 2.0751027e-09  60.01764 -19.847797 -19.847797 4395.9023 4395.9023
14 2176.9864 0.010399685 3.0316955 1.0342102 0.019209694 0.13393704 0.86924076 2.0732355e-09 59.974698 -19.847797 -19.847797 4393.6684 4393.6684
 4  2167.869 0.010400116 3.0315225 1.0357346 0.019223451 0.13362751 0.87436662 2.0728769e-09 60.093315 -19.847797 -19.847797 4375.4335 4375.4335
 2 2165.2923 0.010399886 3.0333239 1.0349527 0.019235065 0.13351911 0.86970515 2.0766144e-09 60.128043 -19.847797 -19.847797 4370.2801 4370.2801
 1 2153.1561 0.010400075 3.0337091 1.0341629 0.019247388  0.1334869 0.86352269 2.0774144e-09 60.153323 -19.847797 -19.847797 4346.0079 4346.0079
 1 2141.1556 0.010399602 3.0326319 1.0330422 0.019251393 0.13352588 0.86707265 2.0751778e-09 60.129436 -19.847797 -19.847797 4322.0069 4322.0069
 1 2118.9253 0.010401056 3.0326863 1.0328435 0.019265105 0.13353078 0.88337229 2.0752906e-09 60.184677 -19.847797 -19.847797 4277.5462 4277.5462
 1 2109.6126 0.010401264 3.0290918 1.0355229  0.01927845 0.13340134 0.87828652 2.0678445e-09 60.241137 -19.847797 -19.847797 4258.9207 4258.9207
10 2109.2417 0.010401147 3.0292823 1.0356506 0.019279991 0.13330549 0.87912212 2.0682383e-09 60.267954 -19.847797 -19.847797  4258.179  4258.179
 3 2084.9335 0.010400996 3.0291357 1.0345547 0.019310266 0.13337823 0.86668241 2.0679352e-09 60.264078 -19.847797 -19.847797 4209.5625 4209.5625
 5 2074.4416 0.010401399  3.029502 1.0351805 0.019317316 0.13345682 0.87729195 2.0686929e-09 60.258258 -19.847797 -19.847797 4188.5787 4188.5787
 1 2056.2792  0.01040097 3.0313563 1.0304716  0.01932763 0.13425205 0.87968986 2.0725322e-09 60.010103 -19.847797 -19.847797  4152.254  4152.254
 1 2041.8671 0.010401749 3.0314852 1.0307032 0.019344726 0.13481541 0.87513489 2.0727996e-09 59.877383 -19.847797 -19.847797 4123.4298 4123.4298
 2 2040.8977 0.010402455 3.0337482 1.0292369 0.019340825 0.13470733 0.87568353 2.0774956e-09 59.929484 -19.847797 -19.847797 4121.4909 4121.4909
 2 2038.2184 0.010400349 3.0346558 1.0252354 0.019346439 0.13542507 0.88865729  2.079382e-09 59.650654 -19.847797 -19.847797 4116.1324 4116.1324
 2 2025.9038 0.010400953 3.0334997 1.0248249 0.019366204 0.13513857 0.90545476 2.0769794e-09 59.771177 -19.847797 -19.847797 4091.5031 4091.5031
 3 2012.8275 0.010399371 3.0331834 1.0235318 0.019392706 0.13569798 0.87870866 2.0763225e-09  59.57337 -19.847797 -19.847797 4065.3506 4065.3506
