#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
1 755.84809 0.010412453  3.024595 0.97681364 0.022655295 0.11330723 1.1604136 2.0585666e-09 70.130173 -19.847797 -19.847797 1551.3918 1551.3918
2 755.93472 0.010411331 3.0237935  0.9763673  0.02262964 0.11363714 1.1629647 2.0569173e-09 69.946992 -19.847797 -19.847797  1551.565  1551.565
1 756.30035 0.010411325 3.0238575 0.97679611 0.022636152 0.11387062 1.1711406 2.0570489e-09 69.864735 -19.847797 -19.847797 1552.2963 1552.2963
2 754.80743 0.010411043 3.0235141  0.9773258 0.022630769 0.11355054 1.1659698 2.0563427e-09 69.970632 -19.847797 -19.847797 1549.3105 1549.3105
1 754.75313 0.010411053 3.0236792 0.97738243 0.022633413 0.11351865 1.1659727 2.0566822e-09 69.985134 -19.847797 -19.847797 1549.2018 1549.2018
2  755.6598 0.010411016 3.0241274  0.9766086 0.022630805 0.11341954 1.1678294 2.0576042e-09 70.018939 -19.847797 -19.847797 1551.0152 1551.0152
1 755.67802 0.010410971 3.0241233 0.97660734 0.022630956 0.11342324 1.1679297 2.0575958e-09 70.016164 -19.847797 -19.847797 1551.0516 1551.0516
4 755.11584 0.010411002 3.0241495 0.97688981  0.02263232 0.11349003 1.1676898 2.0576498e-09 69.993246 -19.847797 -19.847797 1549.9273 1549.9273
2 752.35486 0.010410913 3.0242314 0.97663134 0.022599761 0.11390937 1.1604274 2.0578183e-09 69.806244 -19.847797 -19.847797 1544.4053 1544.4053
9 751.75302 0.010411905 3.0261411 0.97639802 0.022584968 0.11373042 1.1629062 2.0617518e-09 69.894634 -19.847797 -19.847797 1543.2016 1543.2016
1 751.76402 0.010412507 3.0261491 0.97627224  0.02259577 0.11399317 1.1639226 2.0617683e-09 69.825666 -19.847797 -19.847797 1543.2236 1543.2236
1 751.77904 0.010412716 3.0256672 0.97660429 0.022594884 0.11393033 1.1636243 2.0607749e-09 69.855498 -19.847797 -19.847797 1543.2537 1543.2537
1 752.04742 0.010412551  3.025154 0.97627378 0.022599509 0.11395552 1.1522785 2.0597177e-09 69.844291 -19.847797 -19.847797 1543.7904 1543.7904
7 751.04498 0.010410354 3.0264379  0.9754611 0.022598681 0.11389501 1.1541153 2.0623638e-09 69.791775 -19.847797 -19.847797 1541.7856 1541.7856
3 751.50781 0.010410463 3.0265147 0.97525905 0.022602916 0.11386168 1.1545038 2.0625222e-09 69.811439 -19.847797 -19.847797 1542.7112 1542.7112
4 753.73765 0.010410108 3.0266132 0.97501733 0.022601563  0.1136208 1.1552312 2.0627253e-09 69.888469 -19.847797 -19.847797 1547.1709 1547.1709
2 752.55502 0.010410245 3.0272707 0.97396423 0.022610655 0.11397702 1.1528097 2.0640821e-09 69.767324 -19.847797 -19.847797 1544.8056 1544.8056
2 753.02299 0.010410793 3.0278397 0.97375139  0.02260724 0.11390833 1.1525159 2.0652569e-09 69.808748 -19.847797 -19.847797 1545.7416 1545.7416
4 753.84607 0.010410679 3.0281289 0.97393641 0.022609438 0.11377402 1.1532319 2.0658543e-09 69.856936 -19.847797 -19.847797 1547.3877 1547.3877
2 752.74147 0.010410462 3.0268234 0.97651197  0.02262179 0.11394322 1.1486027 2.0631589e-09 69.796473 -19.847797 -19.847797 1545.1785 1545.1785
3 751.21005 0.010411157  3.026951 0.97533322 0.022621911 0.11380295  1.142608 2.0634223e-09 69.872579 -19.847797 -19.847797 1542.1157 1542.1157
2 749.31416 0.010411206 3.0270888 0.97590989 0.022621562 0.11400426 1.1371372 2.0637067e-09 69.798718 -19.847797 -19.847797 1538.3239 1538.3239
7 749.64387 0.010410768 3.0278877 0.97511837 0.022616683 0.11403659 1.1355522 2.0653561e-09 69.767783 -19.847797 -19.847797 1538.9833 1538.9833
1  749.0303 0.010410656 3.0284171 0.97449609 0.022612772 0.11416491 1.1322804 2.0664496e-09 69.712889 -19.847797 -19.847797 1537.7562 1537.7562
7 749.11919 0.010410653 3.0284194 0.97446556 0.022613061 0.11415722 1.1321618 2.0664545e-09 69.715907 -19.847797 -19.847797  1537.934  1537.934
1 749.66974 0.010410763 3.0256015 0.97713827 0.022608532 0.11401337 1.1146507 2.0606395e-09 69.769537 -19.847797 -19.847797 1539.0351 1539.0351
2 750.22629  0.01041058 3.0259584 0.97820395  0.02261564 0.11393324 1.1175444 2.0613751e-09 69.799127 -19.847797 -19.847797 1540.1482 1540.1482
3 748.85946 0.010410645 3.0250414 0.97814368 0.022617699 0.11398797 1.1207556 2.0594858e-09 69.782588 -19.847797 -19.847797 1537.4145 1537.4145
1 748.82655 0.010410673 3.0250716 0.97821165 0.022618261 0.11400113 1.1206543 2.0595478e-09 69.779086 -19.847797 -19.847797 1537.3487 1537.3487
3 748.46912 0.010410968 3.0251955 0.97838731 0.022612181 0.11399403 1.1219973  2.059803e-09  69.78674 -19.847797 -19.847797 1536.6338 1536.6338
1 748.53723  0.01041098 3.0252269 0.97839392 0.022612543 0.11399124 1.1215047 2.0598677e-09 69.788464 -19.847797 -19.847797   1536.77   1536.77
7 747.79544 0.010411262 3.0256571 0.97749733 0.022606799 0.11407592 1.1208118 2.0607542e-09 69.761657 -19.847797 -19.847797 1535.2865 1535.2865
4 747.74884 0.010411302 3.0256299 0.97749595  0.02260598   0.114087 1.1206252 2.0606981e-09 69.758223 -19.847797 -19.847797 1535.1933 1535.1933
4 746.44698 0.010412554 3.0273213 0.97712017 0.022587339 0.11430421 1.1213041 2.0641866e-09 69.704278 -19.847797 -19.847797 1532.5895 1532.5895
5 746.20209 0.010412687 3.0268423 0.97791212 0.022586731 0.11436451 1.1181894 2.0631979e-09 69.685845 -19.847797 -19.847797 1532.0998 1532.0998
1 745.69645 0.010412265 3.0256552 0.97852878 0.022582369 0.11430761 1.1188891 2.0607503e-09 69.689151 -19.847797 -19.847797 1531.0885 1531.0885
 4 744.50546 0.010411718 3.0257676 0.97706739 0.022573908 0.11469995 1.1222046 2.0609818e-09 69.517916 -19.847797 -19.847797 1528.7065 1528.7065
 1 744.24576 0.010411703  3.026026 0.97689564 0.022570293 0.11472712 1.1199594 2.0615144e-09 69.504362 -19.847797 -19.847797 1528.1871 1528.1871
11 744.28376 0.010410821 3.0263287 0.97837067 0.022561348 0.11457357 1.1224195 2.0621386e-09 69.524069 -19.847797 -19.847797 1528.2631 1528.2631
 6 744.31922 0.010410842 3.0264085  0.9780365 0.022567779 0.11452576 1.1228787 2.0623033e-09 69.547837 -19.847797 -19.847797  1528.334  1528.334
 9 745.35443 0.010410978 3.0246594 0.97787858 0.022571265 0.11484896 1.1331394 2.0586992e-09 69.435537 -19.847797 -19.847797 1530.4044 1530.4044
 2 744.01838 0.010411211 3.0246456 0.97829044 0.022554326 0.11486818 1.1300793 2.0586708e-09 69.422334 -19.847797 -19.847797 1527.7324 1527.7324
 1 741.64144  0.01041097 3.0260341 0.97754227 0.022552863 0.11495158 1.1174199 2.0615313e-09 69.382143 -19.847797 -19.847797 1522.9785 1522.9785
 1 741.05987  0.01041217 3.0266194  0.9778065 0.022524488  0.1149045 1.1169053 2.0627382e-09 69.416698 -19.847797 -19.847797 1521.8153 1521.8153
 1 740.95018 0.010412145 3.0266708 0.97782198 0.022524209 0.11490645 1.1171054 2.0628442e-09 69.414895 -19.847797 -19.847797  1521.596  1521.596
